F1 Score,Label,Model,Precision,Recall,Model_label
0.9375000000000001,0,lr,0.9183673469387755,0.9574468085106383,lr0.0
0.9361702127659574,1,lr,0.9565217391304348,0.9166666666666666,lr1.0
0.9591836734693878,0,rf,0.9215686274509803,1,rf0.0
0.9565217391304348,1,rf,1,0.9166666666666666,rf1.0
0.9473684210526315,0,gbt,0.9375,0.9574468085106383,gbt0.0
0.9473684210526315,1,gbt,0.9574468085106383,0.9375,gbt1.0
0.9400000000000001,0,lsvc,0.8867924528301887,1,lsvc0.0
0.9333333333333333,1,lsvc,1,0.875,lsvc1.0
